county_fips,county_name,sos_county
031,York,YOR
005,Cumberland,CUM
001,Androscoggin,AND
023,Sagadahoc,SAG
015,Lincoln,LIN
017,Oxford,OXF
007,Franklin,FRA
011,Kennebec,KEN
013,Knox,KNO
027,Waldo,WAL
019,Penobscot,PEN
025,Somerset,SOM
021,Piscataquis,PIS
009,Hancock,HAN
029,Washington,WAS
003,Aroostook,ARO
